1,6
2,6
3,6
4,6
5,6
6,8
7,8
8,8
9,8
10,8
11,11
12,11
13,11
14,11
15,11
16,9
17,9
18,9
19,9
20,9
21,10
22,10
23,10
24,10
25,10
26,4
27,4
28,4
29,4
30,4
31,2
32,2
33,2
34,2
35,2
36,1
37,1
38,1
39,1
40,1
41,3
42,3
43,3
44,3
45,3
46,4
47,4
48,4
49,4
50,4
51,5
52,5
53,5
54,5
55,5
56,3
57,3
58,3
59,3
60,3
61,12
62,12
63,12
64,12
65,12
66,13
67,13
68,13
69,13
70,13
71,14
72,14
73,14
74,14
75,14
76,7
77,7
78,7
79,7
80,7
81,6
82,6
83,6
84,6
85,6
86,16
87,16
88,16
89,16
90,16
91,5
92,5
93,5
94,5
95,5
96,1
97,1
98,1
99,1
100,1
101,7
102,7
103,7
104,7
105,7
106,1
107,1
108,1
109,1
110,1
111,15
112,15
113,15
114,15
115,15
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
