1,6
2,10
3,9
4,6
5,2
6,2
7,1
8,5
9,3
10,6
11,3
12,3
13,7
14,4
15,6
16,10
17,8
18,7
19,10
20,10
21,1
22,6
23,4
24,1
25,4
26,1
27,4
28,2
29,8
30,10
31,9
32,1
33,1
34,8
35,7
36,2
37,3
38,9
39,4
40,4
41,7
42,4
43,5
44,7
45,3
46,1
47,1
48,2
49,3
50,10
51,2
52,1
53,9
54,5
55,8
56,9
57,2
58,1
59,6
60,1
61,5
62,8
63,8
64,3
65,5
66,7
67,4
68,10
69,9
70,9
71,6
72,7
73,9
74,1
75,5
76,5
77,4
78,3
79,5
80,8
81,3
82,4
83,5
84,6
85,3
86,6
87,4
88,7
89,2
90,10
91,5
92,4
93,7
94,1
95,3
96,3
97,8
98,7
99,3
100,1
101,9
102,2
103,10
104,2
105,1
106,2
107,2
108,3
109,6
110,2
111,2
112,2
113,1
114,8
115,5
